country,department,pop,year
co,Amazonas,62065,2000
co,Amazonas,63451,2001
co,Amazonas,64701,2002
co,Amazonas,65825,2003
co,Amazonas,66827,2004
co,Amazonas,67726,2005
co,Amazonas,68613,2006
co,Amazonas,69474,2007
co,Amazonas,70313,2008
co,Amazonas,71167,2009
co,Amazonas,72017,2010
co,Amazonas,72858,2011
co,Amazonas,73699,2012
co,Amazonas,74541,2013
co,Amazonas,75388,2014
co,Amazonas,76243,2015
co,Amazonas,77088,2016
co,Antioquia,5289912,2000
co,Antioquia,5368957,2001
co,Antioquia,5447841,2002
co,Antioquia,5526457,2003
co,Antioquia,5604712,2004
co,Antioquia,5682310,2005
co,Antioquia,5757973,2006
co,Antioquia,5834865,2007
co,Antioquia,5911399,2008
co,Antioquia,5988552,2009
co,Antioquia,6066003,2010
co,Antioquia,6143809,2011
co,Antioquia,6221817,2012
co,Antioquia,6299990,2013
co,Antioquia,6378132,2014
co,Antioquia,6456299,2015
co,Antioquia,6534857,2016
co,Arauca,215979,2000
co,Arauca,220976,2001
co,Arauca,224831,2002
co,Arauca,227738,2003
co,Arauca,230019,2004
co,Arauca,232129,2005
co,Arauca,235252,2006
co,Arauca,238361,2007
co,Arauca,241446,2008
co,Arauca,244507,2009
co,Arauca,247541,2010
co,Arauca,250569,2011
co,Arauca,253565,2012
co,Arauca,256527,2013
co,Arauca,259447,2014
co,Arauca,262315,2015
co,Arauca,265190,2016
co,Atlantico,2017388,2000
co,Atlantico,2046777,2001
co,Atlantico,2076366,2002
co,Atlantico,2106173,2003
co,Atlantico,2136070,2004
co,Atlantico,2166020,2005
co,Atlantico,2195776,2006
co,Atlantico,2225481,2007
co,Atlantico,2255143,2008
co,Atlantico,2284841,2009
co,Atlantico,2314460,2010
co,Atlantico,2344077,2011
co,Atlantico,2373550,2012
co,Atlantico,2402910,2013
co,Atlantico,2432003,2014
co,Atlantico,2460863,2015
co,Atlantico,2489514,2016
co,Bogota,6302881,2000
co,Bogota,6412400,2001
co,Bogota,6520473,2002
co,Bogota,6627568,2003
co,Bogota,6734041,2004
co,Bogota,6840116,2005
co,Bogota,6945216,2006
co,Bogota,7050228,2007
co,Bogota,7155052,2008
co,Bogota,7259597,2009
co,Bogota,7363782,2010
co,Bogota,7467804,2011
co,Bogota,7571345,2012
co,Bogota,7674366,2013
co,Bogota,7776845,2014
co,Bogota,7878783,2015
co,Bogota,7980001,2016
co,Bolivar,1792634,2000
co,Bolivar,1810899,2001
co,Bolivar,1828057,2002
co,Bolivar,1844798,2003
co,Bolivar,1861840,2004
co,Bolivar,1879480,2005
co,Bolivar,1898031,2006
co,Bolivar,1917345,2007
co,Bolivar,1937500,2008
co,Bolivar,1958431,2009
co,Bolivar,1980012,2010
co,Bolivar,2002531,2011
co,Bolivar,2025573,2012
co,Bolivar,2049109,2013
co,Bolivar,2073004,2014
co,Bolivar,2097161,2015
co,Bolivar,2121956,2016
co,Boyaca,1234550,2000
co,Boyaca,1239693,2001
co,Boyaca,1244292,2002
co,Boyaca,1248391,2003
co,Boyaca,1252027,2004
co,Boyaca,1255314,2005
co,Boyaca,1258195,2006
co,Boyaca,1260821,2007
co,Boyaca,1263252,2008
co,Boyaca,1265513,2009
co,Boyaca,1267652,2010
co,Boyaca,1269405,2011
co,Boyaca,1271133,2012
co,Boyaca,1272855,2013
co,Boyaca,1274615,2014
co,Boyaca,1276407,2015
co,Boyaca,1278107,2016
co,Caldas,959483,2000
co,Caldas,961277,2001
co,Caldas,962996,2002
co,Caldas,964745,2003
co,Caldas,966596,2004
co,Caldas,968586,2005
co,Caldas,970651,2006
co,Caldas,972591,2007
co,Caldas,974493,2008
co,Caldas,976423,2009
co,Caldas,978342,2010
co,Caldas,980267,2011
co,Caldas,982207,2012
co,Caldas,984115,2013
co,Caldas,986042,2014
co,Caldas,987991,2015
co,Caldas,989934,2016
co,Caqueta,398736,2000
co,Caqueta,402694,2001
co,Caqueta,406734,2002
co,Caqueta,410991,2003
co,Caqueta,415586,2004
co,Caqueta,420518,2005
co,Caqueta,425748,2006
co,Caqueta,431020,2007
co,Caqueta,436485,2008
co,Caqueta,442071,2009
co,Caqueta,447767,2010
co,Caqueta,453588,2011
co,Caqueta,459515,2012
co,Caqueta,465487,2013
co,Caqueta,471541,2014
co,Caqueta,477642,2015
co,Caqueta,483846,2016
co,Casanare,263956,2000
co,Casanare,270318,2001
co,Casanare,276648,2002
co,Casanare,282913,2003
co,Casanare,289117,2004
co,Casanare,295276,2005
co,Casanare,301371,2006
co,Casanare,307441,2007
co,Casanare,313431,2008
co,Casanare,319515,2009
co,Casanare,325621,2010
co,Casanare,331734,2011
co,Casanare,337886,2012
co,Casanare,344040,2013
co,Casanare,350239,2014
co,Casanare,356479,2015
co,Casanare,362721,2016
co,Cauca,1215944,2000
co,Cauca,1227525,2001
co,Cauca,1238420,2002
co,Cauca,1248825,2003
co,Cauca,1258885,2004
co,Cauca,1268830,2005
co,Cauca,1278185,2006
co,Cauca,1287746,2007
co,Cauca,1297703,2008
co,Cauca,1308183,2009
co,Cauca,1319120,2010
co,Cauca,1330756,2011
co,Cauca,1342650,2012
co,Cauca,1354733,2013
co,Cauca,1366984,2014
co,Cauca,1379169,2015
co,Cauca,1391836,2016
co,Cesar,844564,2000
co,Cesar,855971,2001
co,Cesar,867510,2002
co,Cesar,879257,2003
co,Cesar,891245,2004
co,Cesar,903423,2005
co,Cesar,915900,2006
co,Cesar,928571,2007
co,Cesar,941258,2008
co,Cesar,953866,2009
co,Cesar,966450,2010
co,Cesar,979054,2011
co,Cesar,991584,2012
co,Cesar,1004058,2013
co,Cesar,1016533,2014
co,Cesar,1028890,2015
co,Cesar,1041204,2016
co,Choco,437343,2000
co,Choco,437951,2001
co,Choco,441828,2002
co,Choco,445794,2003
co,Choco,449877,2004
co,Choco,454053,2005
co,Choco,458317,2006
co,Choco,462683,2007
co,Choco,467074,2008
co,Choco,471598,2009
co,Choco,476149,2010
co,Choco,480820,2011
co,Choco,485543,2012
co,Choco,490317,2013
co,Choco,495151,2014
co,Choco,500093,2015
co,Choco,505016,2016
co,Cordoba,1361658,2000
co,Cordoba,1383011,2001
co,Cordoba,1404175,2002
co,Cordoba,1425297,2003
co,Cordoba,1446552,2004
co,Cordoba,1467906,2005
co,Cordoba,1489745,2006
co,Cordoba,1512031,2007
co,Cordoba,1535414,2008
co,Cordoba,1558833,2009
co,Cordoba,1582784,2010
co,Cordoba,1607519,2011
co,Cordoba,1632637,2012
co,Cordoba,1658067,2013
co,Cordoba,1683782,2014
co,Cordoba,1709644,2015
co,Cordoba,1736170,2016
co,Cundinamarca,2076798,2000
co,Cundinamarca,2118567,2001
co,Cundinamarca,2159796,2002
co,Cundinamarca,2200405,2003
co,Cundinamarca,2240428,2004
co,Cundinamarca,2280158,2005
co,Cundinamarca,2318959,2006
co,Cundinamarca,2358115,2007
co,Cundinamarca,2397511,2008
co,Cundinamarca,2437151,2009
co,Cundinamarca,2477036,2010
co,Cundinamarca,2517215,2011
co,Cundinamarca,2557623,2012
co,Cundinamarca,2598245,2013
co,Cundinamarca,2639059,2014
co,Cundinamarca,2680041,2015
co,Cundinamarca,2721368,2016
co,Guainia,31640,2000
co,Guainia,32490,2001
co,Guainia,33261,2002
co,Guainia,33968,2003
co,Guainia,34614,2004
co,Guainia,35230,2005
co,Guainia,35846,2006
co,Guainia,36464,2007
co,Guainia,37084,2008
co,Guainia,37705,2009
co,Guainia,38328,2010
co,Guainia,38949,2011
co,Guainia,39574,2012
co,Guainia,40203,2013
co,Guainia,40839,2014
co,Guainia,41482,2015
co,Guainia,42123,2016
co,Guaviare,89038,2000
co,Guaviare,90360,2001
co,Guaviare,91633,2002
co,Guaviare,92889,2003
co,Guaviare,94181,2004
co,Guaviare,95551,2005
co,Guaviare,97135,2006
