country,province,case_year,case_month,cases
ar,cordoba,2009,1,3
ar,cordoba,2009,2,14
ar,cordoba,2009,3,39
ar,cordoba,2009,4,71
ar,cordoba,2009,5,3
ar,cordoba,2009,6,0
ar,cordoba,2009,7,0
ar,cordoba,2009,8,0
ar,cordoba,2009,9,0
ar,cordoba,2009,10,0
ar,cordoba,2009,11,0
ar,cordoba,2009,12,0
ar,cordoba,2010,1,0
ar,cordoba,2010,2,0
ar,cordoba,2010,3,0
ar,cordoba,2010,4,0
ar,cordoba,2010,5,0
ar,cordoba,2010,6,0
ar,cordoba,2010,7,0
ar,cordoba,2010,8,0
ar,cordoba,2010,9,0
ar,cordoba,2010,10,0
ar,cordoba,2010,11,0
ar,cordoba,2010,12,0
ar,cordoba,2011,1,0
ar,cordoba,2011,2,0
ar,cordoba,2011,3,0
ar,cordoba,2011,4,0
ar,cordoba,2011,5,0
ar,cordoba,2011,6,0
ar,cordoba,2011,7,0
ar,cordoba,2011,8,0
ar,cordoba,2011,9,0
ar,cordoba,2011,10,0
ar,cordoba,2011,11,1
ar,cordoba,2011,12,0
ar,cordoba,2012,1,0
ar,cordoba,2012,2,0
ar,cordoba,2012,3,5
ar,cordoba,2012,4,2
ar,cordoba,2012,5,0
ar,cordoba,2012,6,0
ar,cordoba,2012,7,0
ar,cordoba,2012,8,0
ar,cordoba,2012,9,0
ar,cordoba,2012,10,0
ar,cordoba,2012,11,0
ar,cordoba,2012,12,0
ar,cordoba,2013,1,7
ar,cordoba,2013,2,17
ar,cordoba,2013,3,67
ar,cordoba,2013,4,32
ar,cordoba,2013,5,2
ar,cordoba,2013,6,7
ar,cordoba,2013,7,0
ar,cordoba,2013,8,0
ar,cordoba,2013,9,0
ar,cordoba,2013,10,0
ar,cordoba,2013,11,0
ar,cordoba,2013,12,6
ar,cordoba,2014,1,0
ar,cordoba,2014,2,1
ar,cordoba,2014,3,2
ar,cordoba,2014,4,8
ar,cordoba,2014,5,0
ar,cordoba,2014,6,0
ar,cordoba,2014,7,1
ar,cordoba,2014,8,0
ar,cordoba,2014,9,0
ar,cordoba,2014,10,0
ar,cordoba,2014,11,0
ar,cordoba,2014,12,0
ar,cordoba,2015,1,1
ar,cordoba,2015,2,1
ar,cordoba,2015,3,60
ar,cordoba,2015,4,134
ar,cordoba,2015,5,37
ar,cordoba,2015,6,3
ar,cordoba,2015,7,1
ar,cordoba,2015,8,3
ar,cordoba,2015,9,2
ar,cordoba,2015,10,1
ar,cordoba,2015,11,17
ar,cordoba,2015,12,2
ar,cordoba,2016,1,12
ar,cordoba,2016,2,81
ar,cordoba,2016,3,244
ar,cordoba,2016,4,420
ar,cordoba,2016,5,72
ar,cordoba,2016,6,1
ar,cordoba,2016,7,1
ar,cordoba,2016,8,0
ar,cordoba,2016,9,0
ar,cordoba,2016,10,0
ar,cordoba,2016,11,3
ar,cordoba,2016,12,1
ar,cordoba,2017,1,2
ar,cordoba,2017,2,0
ar,cordoba,2017,3,0
ar,cordoba,2017,4,6
ar,cordoba,2017,5,6
ar,cordoba,2017,6,2
ar,cordoba,2017,7,1
ar,cordoba,2017,8,0
ar,cordoba,2017,9,0
ar,cordoba,2017,10,0
ar,cordoba,2017,11,0
ar,cordoba,2017,12,1
ar,cordoba,2018,1,0
ar,cordoba,2018,2,0
ar,cordoba,2018,3,0
ar,cordoba,2018,4,23
ar,cordoba,2018,5,3
ar,cordoba,2018,6,0
ar,cordoba,2018,7,0
ar,cordoba,2018,8,0
ar,cordoba,2018,9,0
ar,cordoba,2018,10,1
ar,cordoba,2018,11,0
ar,cordoba,2018,12,1
ar,buenos aires,2010,1,9
ar,buenos aires,2010,2,25
ar,buenos aires,2010,3,26
ar,buenos aires,2010,4,2
ar,buenos aires,2010,5,0
ar,buenos aires,2010,6,0
ar,buenos aires,2010,7,0
ar,buenos aires,2010,8,0
ar,buenos aires,2010,9,0
ar,buenos aires,2010,10,0
ar,buenos aires,2010,11,0
ar,buenos aires,2010,12,1
ar,buenos aires,2011,1,0
ar,buenos aires,2011,2,0
ar,buenos aires,2011,3,0
ar,buenos aires,2011,4,2
ar,buenos aires,2011,5,0
ar,buenos aires,2011,6,0
ar,buenos aires,2011,7,0
ar,buenos aires,2011,8,0
ar,buenos aires,2011,9,0
ar,buenos aires,2011,10,0
ar,buenos aires,2011,11,0
ar,buenos aires,2011,12,2
ar,buenos aires,2012,1,2
ar,buenos aires,2012,2,1
ar,buenos aires,2012,3,2
ar,buenos aires,2012,4,2
ar,buenos aires,2012,5,0
ar,buenos aires,2012,6,0
ar,buenos aires,2012,7,0
ar,buenos aires,2012,8,0
ar,buenos aires,2012,9,1
ar,buenos aires,2012,10,0
ar,buenos aires,2012,11,1
ar,buenos aires,2012,12,0
ar,buenos aires,2013,1,5
ar,buenos aires,2013,2,11
ar,buenos aires,2013,3,11
ar,buenos aires,2013,4,7
ar,buenos aires,2013,5,2
ar,buenos aires,2013,6,0
ar,buenos aires,2013,7,0
ar,buenos aires,2013,8,0
ar,buenos aires,2013,9,0
ar,buenos aires,2013,10,2
ar,buenos aires,2013,11,0
ar,buenos aires,2013,12,1
ar,buenos aires,2014,1,0
ar,buenos aires,2014,2,5
ar,buenos aires,2014,3,2
ar,buenos aires,2014,4,1
ar,buenos aires,2014,5,0
ar,buenos aires,2014,6,0
ar,buenos aires,2014,7,0
ar,buenos aires,2014,8,1
ar,buenos aires,2014,9,0
ar,buenos aires,2014,10,0
ar,buenos aires,2014,11,0
ar,buenos aires,2014,12,0
ar,buenos aires,2015,1,0
ar,buenos aires,2015,2,5
ar,buenos aires,2015,3,14
ar,buenos aires,2015,4,10
ar,buenos aires,2015,5,0
ar,buenos aires,2015,6,0
ar,buenos aires,2015,7,0
ar,buenos aires,2015,8,0
ar,buenos aires,2015,9,0
ar,buenos aires,2015,10,0
ar,buenos aires,2015,11,0
ar,buenos aires,2015,12,0
ar,buenos aires,2016,1,325
ar,buenos aires,2016,2,989
ar,buenos aires,2016,3,2246
ar,buenos aires,2016,4,622
ar,buenos aires,2016,5,31
ar,buenos aires,2016,6,9
ar,buenos aires,2016,7,2
ar,buenos aires,2016,8,15
ar,buenos aires,2016,9,1
ar,buenos aires,2016,10,4
ar,buenos aires,2016,11,6
ar,buenos aires,2016,12,10
ar,catamarca,2010,1,0
ar,catamarca,2010,2,0
ar,catamarca,2010,3,1
