country,department,year,pop,
dr,all,1995,7770617,
dr,all,1996,7897000,
dr,all,1997,8023000,
dr,all,1998,7998766,
dr,all,1999,8276000,
dr,all,2000,8397802,
dr,all,2001,8512996,
dr,all,2002,8627509,
dr,all,2003,8745084,
dr,all,2004,8857648,
dr,all,2005,8968144,
dr,all,2006,9071458,
dr,all,2007,9174058,
dr,all,2008,9279602,
dr,all,2009,9380152,
dr,all,2010,9478612,
dr,all,2011,9580139,
dr,all,2012,9680963,
dr,all,2013,9784680,
dr,all,2014,9883486,
dr,all,2015,9980243,
dr,all,2016,10075045,
dr,all,2017,10169172,
dr,all,2018,10266149,
dr,all,2019,10358320,
