country,department,pop,year
ec,azuay,,1998
ec,bolivar,,1998
ec,canar,,1998
ec,carchi,,1998
ec,chimborazo,,1998
ec,cotopaxi,,1998
ec,el oro,,1998
ec,esmeraldas,,1998
ec,galapagos,,1998
ec,guayas,,1998
ec,imbabura,,1998
ec,loja,,1998
ec,los rios,,1998
ec,manabi,,1998
ec,morona santiago,,1998
ec,napo,,1998
ec,orellana,,1998
ec,pastaza,,1998
ec,pichincha,,1998
ec,santa elena,,1998
ec,santo domingo,,1998
ec,sucumbios,,1998
ec,tungurahua,,1998
ec,zamora chinchipe,,1998
ec,azuay,739520,2010
ec,bolivar,191631,2010
ec,canar,235814,2010
ec,carchi,171746,2010
ec,chimborazo,476255,2010
ec,cotopaxi,424663,2010
ec,el oro,624860,2010
ec,esmeraldas,551712,2010
ec,galapagos,25884,2010
ec,guayas,3778720,2010
ec,imbabura,413657,2010
ec,loja,467671,2010
ec,los rios,805514,2010
ec,manabi,1420348,2010
ec,morona santiago,153163,2010
ec,napo,106953,2010
ec,orellana,137786,2010
ec,pastaza,86470,2010
ec,pichincha,2667953,2010
ec,santa elena,318247,2010
ec,santo domingo,379378,2010
ec,sucumbios,181287,2010
ec,tungurahua,524048,2010
ec,zamora chinchipe,95194,2010
ec,azuay,753493,2011
ec,bolivar,193689,2011
ec,canar,240248,2011
ec,carchi,173410,2011
ec,cotopaxi,431243,2011
ec,chimborazo,481498,2011
ec,imbabura,419919,2011
ec,loja,473331,2011
ec,pichincha,2723509,2011
ec,tungurahua,530655,2011
ec,santo domingo,387229,2011
ec,el oro,634481,2011
ec,esmeraldas,561605,2011
ec,guayas,3840319,2011
ec,los rios,817676,2011
ec,manabi,1436259,2011
ec,santa elena,326215,2011
ec,morona santiago,157551,2011
ec,napo,109514,2011
ec,pastaza,89053,2011
ec,zamora chinchipe,97676,2011
ec,sucumbios,186072,2011
ec,orellana,140663,2011
ec,galapagos,26576,2011
ec,azuay,767695,2012
ec,bolivar,195719,2012
ec,canar,244754,2012
ec,carchi,175050,2012
ec,cotopaxi,437826,2012
ec,chimborazo,486680,2012
ec,imbabura,426223,2012
ec,loja,478964,2012
ec,pichincha,2779370,2012
ec,tungurahua,537351,2012
ec,santo domingo,395133,2012
ec,el oro,644000,2012
ec,esmeraldas,571382,2012
ec,guayas,3901981,2012
ec,los rios,829779,2012
ec,manabi,1451873,2012
ec,santa elena,334276,2012
ec,morona santiago,161948,2012
ec,napo,112151,2012
ec,pastaza,91699,2012
ec,zamora chinchipe,100170,2012
ec,sucumbios,190896,2012
ec,orellana,143421,2012
ec,galapagos,27284,2012
ec,azuay,781919,2013
ec,bolivar,197708,2013
ec,canar,249297,2013
ec,carchi,176662,2013
ec,cotopaxi,444398,2013
ec,chimborazo,491753,2013
ec,imbabura,432543,2013
ec,loja,484529,2013
ec,pichincha,2835373,2013
ec,tungurahua,544090,2013
ec,santo domingo,403063,2013
ec,el oro,653400,2013
ec,esmeraldas,581010,2013
ec,guayas,3963541,2013
ec,los rios,841767,2013
ec,manabi,1467111,2013
ec,santa elena,342408,2013
ec,morona santiago,166345,2013
ec,napo,114805,2013
ec,pastaza,94373,2013
ec,zamora chinchipe,102684,2013
ec,sucumbios,195759,2013
ec,orellana,146058,2013
ec,galapagos,28000,2013
ec,azuay,796169,2014
ec,bolivar,199646,2014
ec,canar,253863,2014
ec,carchi,178228,2014
ec,cotopaxi,450921,2014
ec,chimborazo,496735,2014
ec,imbabura,438868,2014
ec,loja,490039,2014
ec,pichincha,2891472,2014
ec,tungurahua,550832,2014
ec,santo domingo,411009,2014
