country,department,pop,year
pe,Amazonas,385241,2000
pe,Ancash,1049379,2000
pe,Apurimac,419585,2000
pe,Arequipa,1084725,2000
pe,Ayacucho,571739,2000
pe,Cajamarca,1404767,2000
pe,Callao,788961,2000
pe,Cusco,1173757,2000
pe,Huancavelica,435491,2000
pe,Huanuco,747309,2000
pe,Ica,657255,2000
pe,Junin,1198307,2000
pe,La Libertad,1519967,2000
pe,Lambayeque,1084317,2000
pe,Lima,7767873,2000
pe,Lima Province,NA,2000
pe,Loreto,847288,2000
pe,Madre de Dios,89018,2000
pe,Moquegua,152129,2000
pe,Pasco,267286,2000
pe,Piura,1609027,2000
pe,Puno,1223955,2000
pe,San Martin,662052,2000
pe,Tacna,269033,2000
pe,Tumbes,184866,2000
pe,Ucayali,390261,2000
pe,Amazonas,388720,2001
pe,Ancash,1056484,2001
pe,Apurimac,422361,2001
pe,Arequipa,1100094,2001
pe,Ayacucho,578465,2001
pe,Cajamarca,1416728,2001
pe,Callao,805478,2001
pe,Cusco,1185457,2001
pe,Huancavelica,439405,2001
pe,Huanuco,756187,2001
pe,Ica,666976,2001
pe,Junin,1209950,2001
pe,La Libertad,1544794,2001
pe,Lambayeque,1099245,2001
pe,Lima,7913690,2001
pe,Lima Province,NA,2001
pe,Loreto,862190,2001
pe,Madre de Dios,92185,2001
pe,Moquegua,154339,2001
pe,Pasco,269807,2001
pe,Piura,1628074,2001
pe,Puno,1238294,2001
pe,San Martin,675190,2001
pe,Tacna,274878,2001
pe,Tumbes,188601,2001
pe,Ucayali,213196,2001
pe,Amazonas,391938,2002
pe,Ancash,1063510,2002
pe,Apurimac,425104,2002
pe,Arequipa,1114590,2002
pe,Ayacucho,586290,2002
pe,Cajamarca,1427948,2002
pe,Callao,821283,2002
pe,Cusco,1196650,2002
pe,Huancavelica,443404,2002
pe,Huanuco,764559,2002
pe,Ica,676667,2002
pe,Junin,1221386,2002
pe,La Libertad,1568885,2002
pe,Lambayeque,1113080,2002
pe,Lima,8057558,2002
pe,Lima Province,NA,2002
pe,Loreto,876497,2002
