country,department,pop,year
pr,all,3377000,1985
pr,all,3409554,1986
pr,all,3441850,1987
pr,all,3473898,1988
pr,all,3505650,1989
pr,all,3537000,1990
pr,all,3562110,1991
pr,all,3585176,1992
pr,all,3615497,1993
pr,all,3649237,1994
pr,all,3683103,1995
pr,all,3724655,1996
pr,all,3759430,1997
pr,all,3781101,1998
pr,all,3800081,1999
pr,all,3810605,2000
pr,all,3818774,2001
pr,all,3823701,2002
pr,all,3826095,2003
pr,all,3826878,2004
pr,all,3821362,2005
pr,all,3805214,2006
pr,all,3782995,2007
pr,all,3760866,2008
pr,all,3740410,2009
pr,all,3721525,2010
pr,all,3678732,2011
pr,all,3634488,2012
pr,all,3593077,2013
pr,all,3534874,2014
pr,all,3473177,2015
pr,all,3406520,2016
pr,all,3337177,2017
pr,all,3500000,2018
